loan_id,member_id,book_id,loan_date,return_date,genre,late_fee
116,257,B06,2024-09-20,2024-10-04,Fiction,0.5
117,243,B08,2024-09-20,2024-10-04,History,0.0
118,233,B05,2024-09-20,2024-10-04,Technology,0.0
119,250,B10,2024-09-20,2024-10-04,Technology,0.0
120,245,B01,2024-09-20,2024-10-04,Science,-1.0
121,240,B01,2024-09-21,2024-10-05,Fiction,0.0
122,225,B10,2024-09-21,2024-10-05,Fiction,0.5
123,209,B03,2024-09-21,2024-10-05,History,0.0
124,237,B03,2024-09-21,2024-10-05,Fiction,0.5
125,200,B02,2024-09-21,2024-10-05,Fiction,0.0
126,218,B07,2024-09-21,2024-10-05,Fiction,0.0
127,223,B07,2024-09-22,2024-10-06,Fiction,0.0
128,203,B08,2024-09-22,2024-10-06,Fiction,0.0
129,229,B04,2024-09-22,2024-10-06,Fiction,0.0
130,216,B10,2024-09-22,2024-10-06,,0.0
131,220,B01,2024-09-22,2024-10-06,Science,0.0
132,218,B08,2024-09-22,2024-10-06,Technology,0.5
133,248,B08,2024-09-23,2024-10-07,Science,0.0
134,214,B10,2024-09-23,2024-10-07,Fiction,0.0
135,251,B01,2024-09-23,2024-10-07,Fiction,0.0
136,215,B03,2024-09-23,2024-10-07,Technology,2.0
137,251,B03,2024-09-23,2024-10-07,History,0.5
138,217,B01,2024-09-23,2024-10-07,Technology,0.0
139,250,B06,2024-09-24,2024-10-08,Art,0.5
140,253,B09,2024-09-24,2024-10-08,History,0.0
141,225,B01,2024-09-24,2024-10-08,Science,1.0
142,246,B06,2024-09-24,2024-10-08,History,0.0
143,248,B10,2024-09-24,2024-10-08,History,
144,242,B04,2024-09-24,2024-10-08,Technology,0.0
145,217,B10,2024-09-25,2024-10-09,Art,0.0
146,232,B07,2024-09-25,2024-10-09,Science,-1.0
147,217,B10,2024-09-25,2024-10-09,Fiction,0.0
148,241,B08,2024-09-25,2024-10-09,Technology,0.0
149,216,B09,2024-09-25,2024-10-09,History,0.0
150,241,B01,2024-09-25,2024-10-09,Technology,1.0
151,226,B10,2024-09-26,2024-10-10,Science,0.0
152,212,B07,2024-09-26,2024-10-10,Technology,1.0
153,250,B01,2024-09-26,2024-10-10,History,0.0
154,230,B02,2024-09-26,2024-10-10,Fiction,
155,217,B01,2024-09-26,2024-10-10,Fiction,1.0
156,217,B02,2024-09-26,2024-10-10,Fiction,0.0
157,216,B10,2024-09-27,2024-10-11,Fiction,0.0
158,200,B05,2024-09-27,2024-10-11,Science,0.0
159,231,B10,2024-09-27,2024-10-11,Technology,
160,237,B01,2024-09-27,2024-10-11,Art,0.0
161,209,B02,2024-09-27,2024-10-11,History,0.0
162,200,B08,2024-09-27,2024-10-11,Fiction,0.0
163,252,B10,2024-09-28,2024-10-12,History,0.0
164,238,B04,2024-09-28,2024-10-12,History,0.0
165,222,B01,2024-09-28,2024-10-12,History,0.0
166,232,B09,2024-09-28,2024-10-12,,0.0
167,202,B02,2024-09-28,2024-10-12,Technology,0.0
168,203,B06,2024-09-28,2024-10-12,Art,0.0
169,231,B05,2024-09-29,2024-10-13,History,2.0
170,235,B06,2024-09-29,2024-10-13,,
171,227,B05,2024-09-29,2024-10-13,Technology,2.0
172,218,B04,2024-09-29,2024-10-13,Fiction,0.5
173,254,B05,2024-09-29,2024-10-13,Fiction,0.0
174,213,B05,2024-09-29,2024-10-13,Technology,0.5
175,258,B02,2024-09-30,2024-10-14,Science,0.0
176,243,B02,2024-09-30,2024-10-14,Fiction,0.0
177,248,B03,2024-09-30,2024-10-14,Fiction,0.0
178,253,B02,2024-09-30,2024-10-14,Technology,0.0
179,229,B02,2024-09-30,2024-10-14,History,0.5
180,245,B03,2024-09-30,2024-10-14,History,1.0
181,211,B03,2024-10-01,2024-10-15,Fiction,0.0
182,249,B03,2024-10-01,2024-10-15,History,0.0
183,251,B06,2024-10-01,2024-10-15,Science,1.0
184,222,B09,2024-10-01,2024-10-15,History,0.0
185,237,B02,2024-10-01,2024-10-15,Technology,0.0
186,211,B08,2024-10-01,2024-10-15,Technology,1.0
187,221,B02,2024-10-02,2024-10-16,Fiction,0.0
188,233,B08,2024-10-02,2024-10-16,History,0.0
189,231,B02,2024-10-02,2024-10-16,History,0.0
190,243,B09,2024-10-02,2024-10-16,Fiction,0.0
191,224,B01,2024-10-02,2024-10-16,Fiction,0.0
192,232,B07,2024-10-02,2024-10-16,,0.0
193,237,B08,2024-10-03,2024-10-17,Technology,-1.0
194,209,B06,2024-10-03,2024-10-17,Fiction,0.0
195,240,B02,2024-10-03,2024-10-17,Fiction,0.0
196,237,B03,2024-10-03,2024-10-17,Fiction,0.0
197,243,B07,2024-10-03,2024-10-17,Science,0.0
198,243,B02,2024-10-03,2024-10-17,Art,0.0
199,226,B06,2024-10-04,2024-10-18,Art,2.0
200,207,B09,2024-10-04,2024-10-18,Fiction,
41,225,B09,2024-09-07,2024-09-21,Fiction,0.0
52,236,B08,2024-09-09,2024-09-23,Fiction,1.0
140,253,B09,2024-09-24,2024-10-08,History,0.0
198,243,B02,2024-10-03,2024-10-17,Art,0.0
171,227,B05,2024-09-29,2024-10-13,Technology,2.0
83,244,B04,2024-09-14,2024-09-28,History,0.0
184,222,B09,2024-10-01,2024-10-15,History,0.0
47,225,B04,2024-09-08,2024-09-22,Technology,0.0
71,224,B08,2024-09-12,2024-09-26,History,0.0
101,242,B03,2024-09-17,2024-10-01,Technology,0.0
